name,description
**kiểu dữ liệu**,Data type.
**mô tả**,Column description.
**tên cột**,Column name.
address,Địa chỉ điểm bán | Địa chỉ cửa hàng | Địa chỉ | Địa chỉ địa điểm.
all_quantity_all_year,Tổng lũy kế thuê bao trong tất cả các năm.
all_quantity_day,Tổng số thuê bao trong ngày hiện tại | Tổng số thuê bao trong ngày.
all_quantity_last_week,Tổng số thuê bao trong tuần trước.
all_quantity_month,Tổng số thuê bao trong tháng hiện tại | Tổng số thuê bao trong tháng.
all_quantity_this_week,Tổng số thuê bao trong tuần hiện tại.
all_quantity_year,Tổng số thuê bao trong năm hiện tại.
assignee_staff_id,Mã Người nhận.
assigner_staff_id,Mã Người giao.
bhm revenue (day),Doanh thu BHM trong ngày.
bhm revenue (month),Doanh thu BHM trong tháng.
bhm_rev_day,Doanh thu BHM trong ngày.
bhm_rev_month,Doanh thu BHM trong tháng.
branch,A business center.
branch_code,"Here is a summarized paragraph:

The ""branch_code"" entity represents the branch code of a commune/ward that a user has access to. This branch code is categorized under the type of Trung Tâm Kinh Doanh (TTKD), specifically identifying the user's access to one of the following branches: Trung Tâm Kinh Doanh Sài Gòn, Gia Định, Bến Thành, Gò Vấp, Thủ Đức, Bình Dương, or Vũng Tàu. The branch code is comprised of the Mã TTKD and Mã TTKD/chi nhánh, providing a unique identifier for each branch."
branch_name,"Here is a professional summary of the descriptions:

The entity ""branch_name"" refers to the various branch offices of TTKD, consisting of seven values that encompass the names and designations of each branch."
brand_code,Mã TTKD/chi nhánh.
bảng,Chi tiết các cột trong bảng | Lưu trữ thông tin doanh thu tài khoản chính.
bảng bđs (new),Table storing information about location groups.
bảng nhan_vien_cham_soc_long,Store history of point-of-sale staff care data.
bảng project,Lưu trữ thông tin dự án.
bảng table,Lưu trữ thông tin số lượng VLR.
bảng v_bds_site,Lưu trữ thông tin về cell/trạm BTS.
bảng v_man_task,Lưu trữ thông tin các công việc được khai báo.
bảng đs (new),Mô tả bảng BĐS (NEW).
bậng project,Lưu trữ thông tin dự án.
cell_site,Mã trạm BTS / Cell Site.
chi tiết các cột trong bảng,Column details table.
cltc,Chỉ số chất lượng chênh lệch thu chi.
